202012140105;22.5;1000.84;56.6;-56;88
202012140110;22.5;1001.04;56.9;-56;88
202012140115;22.4;1001.15;56.5;-54;92
202012140120;22.4;1001.21;56.8;-56;88
202012140125;22.5;1001.09;55.8;-55;90
202012140130;22.5;1001.17;55.9;-55;90
202012140135;22.5;1001.08;56.1;-54;92
202012140140;22.4;1001.19;56.1;-54;92
202012140145;22.7;1001.12;55.4;-55;90
202012140150;22.6;1001.00;55.5;-53;94
202012140155;22.8;1000.91;55.1;-52;96
202012140200;22.6;1000.87;56.6;-54;92
202012140205;22.6;1000.75;57.5;-54;92
202012140210;22.6;1000.93;56.9;-53;94
202012140215;22.7;1000.75;56.5;-53;94
202012140220;22.7;1000.75;56.4;-55;90
202012140225;22.5;1000.88;56.5;-53;94
202012140230;22.6;1000.79;56.2;-53;94
202012140235;22.6;1000.71;56.2;-54;92
202012140240;22.6;1000.58;56.6;-54;92
202012140245;22.7;1000.44;55.8;-51;98
202012140250;22.6;1000.45;56.2;-53;94
202012140255;22.6;1000.40;56.0;-55;90
202012140300;22.7;1000.45;55.9;-53;94
202012140305;22.5;1000.63;56.9;-54;92
202012140310;22.4;1000.67;56.9;-55;90
202012140315;22.3;1000.55;57.2;-54;92
202012140320;22.4;1000.50;56.7;-56;88
202012140325;22.4;1000.51;56.5;-53;94
202012140330;22.3;1000.47;56.8;-54;92
202012140335;22.4;1000.47;56.1;-53;94
202012140340;22.6;1000.39;55.9;-52;96
202012140345;22.5;1000.49;55.9;-52;96
202012140350;22.3;1000.53;56.1;-54;92
202012140355;22.1;1000.55;56.1;-52;96
202012140400;22.1;1000.40;56.2;-50;100
202012140405;22.0;1000.46;56.3;-54;92
202012140410;21.9;1000.45;56.3;-53;94
202012140415;21.8;1000.50;56.5;-52;96
202012140420;21.8;1000.41;56.6;-53;94
202012140425;21.7;1000.39;56.7;-52;96
202012140430;21.7;1000.19;56.6;-52;96
202012140435;21.6;1000.34;56.9;-55;90
202012140440;21.6;1000.47;56.7;-53;94
202012140445;21.5;1000.39;56.9;-50;100
202012140450;21.5;1000.46;56.7;-54;92
202012140455;21.6;1000.51;56.8;-54;92
202012140500;21.5;1000.51;56.7;-51;98
202012140505;21.6;1000.50;56.4;-51;98
202012140510;21.6;1000.55;56.6;-52;96
202012140515;21.6;1000.65;56.2;-53;94
202012140520;21.6;1000.82;56.3;-54;92
202012140525;21.6;1000.88;56.4;-52;96
202012140530;21.6;1000.99;56.5;-54;92
202012140535;21.5;1000.98;56.6;-54;92
